target_EoverN_Td,Mean energy (eV),Mobility *N (1/m/V/s),Diffusion coefficient *N (1/m/s),Energy mobility *N (1/m/V/s),Energy diffusion coef. *N (1/m/s),Townsend ioniz. coef. alpha/N (m2),Total ionization freq. /N (m3/s),Power /N (eV m3/s),Elastic power loss /N (eV m3/s),Inelastic power loss /N (eV m3/s),mu_e_m2_V_s,D_e_m2_s,alpha_1_m,ionization_frequency_1_s
1.0,2.4075,2.9578699999999995e+24,1.191419999999998e+25,4.422939999999997e+24,8.95979000000001e+24,0.0,0.0,2.9578700000000095e-18,2.959199999999995e-18,-2.29324e-208,89.76843702579666,361.58421851289773,0.0,0.0
5.0,4.75681158849709,1.1677489105790549e+24,8.207792891164461e+24,1.6582098302476315e+24,6.202557952438343e+24,3.803077510901835e-31,2.330308050577783e-27,2.5696556883399672e-17,1.6299273702886037e-17,1.2195989797376381e-17,35.44002763517617,249.09841854823858,1.2531140398421546e-08,7.678365026653795e-05
10.0,5.307554665087359,1.0769090264575125e+24,7.80854185567911e+24,1.442516771129316e+24,5.857096296356961e+24,1.7973279239637333e-26,2.2725529160121833e-22,9.828164978950794e-17,2.2145982161171495e-17,9.357016937321003e-17,32.68312675136609,236.98154341969985,0.0005922195509460501,7.488061858260144
16.49402916144356,5.52819887532587,1.058379361952779e+24,7.709099882045256e+24,1.3924537404016174e+24,5.772972868530571e+24,1.3027776785363389e-24,2.7064864409758898e-20,2.6908036171084713e-16,2.4490288472528233e-17,2.7861134069239e-16,32.12076971025126,233.9635776038014,0.042926524507772366,891.7872823015556
16.5,5.528363098339166,1.0583508821087656e+24,7.709011669878566e+24,1.3924156689061475e+24,5.772917742339299e+24,1.3043659125446476e-24,2.7098113505117193e-20,2.6928079891921137e-16,2.449198906911666e-17,2.7880271830765716e-16,32.11990537507635,233.9609004515498,0.04297885681834614,892.8828399936115
20.0,5.624627725343051,1.0417877007942749e+24,7.657476581918885e+24,1.3702770206712032e+24,5.740694167599471e+24,2.2353606089403614e-24,4.658814537484816e-20,4.166463247963437e-16,2.550944964960861e-17,3.9098489290567764e-16,31.617229159158573,232.39686136324386,0.0736551320645849,1535.0793901012469
30.0,5.844407984734681,9.968218621722155e+23,7.527821475449533e+24,1.3218962673390756e+24,5.680396586428261e+24,2.268484794301696e-23,6.906000494532733e-19,8.883138051684515e-16,2.7721349722710006e-17,8.707793690895997e-16,30.252560308716706,228.4619567662984,0.7474657397224088,22755.271629485353
50.0,6.189187027968631,9.36449065541718e+23,7.340760468482261e+24,1.2580174289456175e+24,5.611441423991253e+24,1.7429169805016094e-22,8.66658997234868e-18,2.28940682494942e-15,3.1214286207965046e-17,2.2960905564585586e-15,28.420305479263064,222.78483971114605,5.7429114507528025,285564.13958888897
100.0,6.830230662224073,8.54411242423083e+23,6.990414433206295e+24,1.1720666447436688e+24,5.556531314064285e+24,1.0416828384006662e-21,8.987610537276134e-17,8.501815133447677e-15,3.78213046619675e-17,7.925059558517284e-15,25.930538465040456,212.15218310186026,34.32344952530195,2961417.6720324857
200.0,7.820024022764009,7.711263190433966e+23,6.513465795124022e+24,1.094719461650001e+24,5.648556288563134e+24,3.6576215409482756e-21,5.648896415005387e-16,3.080370173535915e-14,4.7871140796847216e-17,2.6403403030711206e-14,23.402923187963477,197.67726237098702,120.51862977424568,18613113.68744275
500.0,10.475246078189807,6.64167301377491e+23,6.181577499434349e+24,1.0210075487877446e+24,6.67762503404301e+24,1.239142779146647e-20,4.123082298262905e-15,1.6564903198060695e-13,7.280891437070292e-17,1.2296889331033634e-13,20.156822500075602,187.60477995248405,408.2975457288202,135855561.7277627
1000.0,15.4923,6.05604000000001e+23,7.066280000000011e+24,1.0006400000000001e+24,1.0209199999999981e+25,2.49733e-20,1.51239e-14,6.056040000000005e-13,1.139100000000004e-16,3.71181e-13,18.37948406676786,214.45462822458305,822.870235,498332505.0
